"County","FullName","Party","No","Votes","VR"
"苗栗縣","苗栗縣苑裡鎮","樹黨","18","121",0.0048
"苗栗縣","苗栗縣通霄鎮","民主進步黨","1","8392",0.4487
"苗栗縣","苗栗縣通霄鎮","親民黨","2","1107",0.0591
"苗栗縣","苗栗縣通霄鎮","自由台灣黨","3","68",0.0036
"苗栗縣","苗栗縣通霄鎮","和平鴿聯盟黨","4","104",0.0055
"苗栗縣","苗栗縣通霄鎮","軍公教聯盟黨","5","85",0.0045
"苗栗縣","苗栗縣通霄鎮","民國黨","6","490",0.0262
"苗栗縣","苗栗縣通霄鎮","信心希望聯盟","7","129",0.0068
"苗栗縣","苗栗縣通霄鎮","中華統一促進黨","8","79",0.0042
"苗栗縣","苗栗縣通霄鎮","中國國民黨","9","5322",0.2845
"苗栗縣","苗栗縣通霄鎮","台灣團結聯盟","10","541",0.0289
"苗栗縣","苗栗縣通霄鎮","時代力量","11","940",0.0502
"苗栗縣","苗栗縣通霄鎮","大愛憲改聯盟","12","41",0.0021
"苗栗縣","苗栗縣通霄鎮","綠黨社會民主黨聯盟","13","239",0.0127
"苗栗縣","苗栗縣通霄鎮","台灣獨立黨","14","82",0.0043
"苗栗縣","苗栗縣通霄鎮","無黨團結聯盟","15","433",0.0231
"苗栗縣","苗栗縣通霄鎮","新黨","16","459",0.0245
"苗栗縣","苗栗縣通霄鎮","健保免費連線","17","103",0.0055
"苗栗縣","苗栗縣通霄鎮","樹黨","18","87",0.0046
"苗栗縣","苗栗縣竹南鎮","民主進步黨","1","15072",0.3644
"苗栗縣","苗栗縣竹南鎮","親民黨","2","3228",0.078
"苗栗縣","苗栗縣竹南鎮","自由台灣黨","3","199",0.0048
"苗栗縣","苗栗縣竹南鎮","和平鴿聯盟黨","4","199",0.0048
"苗栗縣","苗栗縣竹南鎮","軍公教聯盟黨","5","247",0.0059
"苗栗縣","苗栗縣竹南鎮","民國黨","6","2677",0.0647
"苗栗縣","苗栗縣竹南鎮","信心希望聯盟","7","506",0.0122
"苗栗縣","苗栗縣竹南鎮","中華統一促進黨","8","207",0.005
"苗栗縣","苗栗縣竹南鎮","中國國民黨","9","12260",0.2964
"苗栗縣","苗栗縣竹南鎮","台灣團結聯盟","10","776",0.0187
"苗栗縣","苗栗縣竹南鎮","時代力量","11","2820",0.0681
"苗栗縣","苗栗縣竹南鎮","大愛憲改聯盟","12","69",0.0016
"苗栗縣","苗栗縣竹南鎮","綠黨社會民主黨聯盟","13","865",0.0209
"苗栗縣","苗栗縣竹南鎮","台灣獨立黨","14","137",0.0033
"苗栗縣","苗栗縣竹南鎮","無黨團結聯盟","15","291",0.007
"苗栗縣","苗栗縣竹南鎮","新黨","16","1319",0.0318
"苗栗縣","苗栗縣竹南鎮","健保免費連線","17","248",0.0059
"苗栗縣","苗栗縣竹南鎮","樹黨","18","236",0.0057
"苗栗縣","苗栗縣頭份市","民主進步黨","1","14298",0.2951
"苗栗縣","苗栗縣頭份市","親民黨","2","4552",0.0939
"苗栗縣","苗栗縣頭份市","自由台灣黨","3","173",0.0035
"苗栗縣","苗栗縣頭份市","和平鴿聯盟黨","4","223",0.0046
"苗栗縣","苗栗縣頭份市","軍公教聯盟黨","5","312",0.0064
"苗栗縣","苗栗縣頭份市","民國黨","6","2388",0.0493
"苗栗縣","苗栗縣頭份市","信心希望聯盟","7","631",0.013
"苗栗縣","苗栗縣頭份市","中華統一促進黨","8","425",0.0087
"苗栗縣","苗栗縣頭份市","中國國民黨","9","18094",0.3735
"苗栗縣","苗栗縣頭份市","台灣團結聯盟","10","540",0.0111
"苗栗縣","苗栗縣頭份市","時代力量","11","2811",0.058
"苗栗縣","苗栗縣頭份市","大愛憲改聯盟","12","78",0.0016
"苗栗縣","苗栗縣頭份市","綠黨社會民主黨聯盟","13","1007",0.0207
"苗栗縣","苗栗縣頭份市","台灣獨立黨","14","99",0.002
"苗栗縣","苗栗縣頭份市","無黨團結聯盟","15","276",0.0056
"苗栗縣","苗栗縣頭份市","新黨","16","1909",0.0394
"苗栗縣","苗栗縣頭份市","健保免費連線","17","305",0.0062
"苗栗縣","苗栗縣頭份市","樹黨","18","314",0.0064
"苗栗縣","苗栗縣後龍鎮","民主進步黨","1","7253",0.3968
"苗栗縣","苗栗縣後龍鎮","親民黨","2","1174",0.0642
"苗栗縣","苗栗縣後龍鎮","自由台灣黨","3","97",0.0053
"苗栗縣","苗栗縣後龍鎮","和平鴿聯盟黨","4","118",0.0064
"苗栗縣","苗栗縣後龍鎮","軍公教聯盟黨","5","94",0.0051
"苗栗縣","苗栗縣後龍鎮","民國黨","6","985",0.0538
"苗栗縣","苗栗縣後龍鎮","信心希望聯盟","7","103",0.0056
"苗栗縣","苗栗縣後龍鎮","中華統一促進黨","8","103",0.0056
"苗栗縣","苗栗縣後龍鎮","中國國民黨","9","5822",0.3185
"苗栗縣","苗栗縣後龍鎮","台灣團結聯盟","10","400",0.0218
"苗栗縣","苗栗縣後龍鎮","時代力量","11","817",0.0447
"苗栗縣","苗栗縣後龍鎮","大愛憲改聯盟","12","25",0.0013
"苗栗縣","苗栗縣後龍鎮","綠黨社會民主黨聯盟","13","309",0.0169
"苗栗縣","苗栗縣後龍鎮","台灣獨立黨","14","76",0.0041
"苗栗縣","苗栗縣後龍鎮","無黨團結聯盟","15","296",0.0161
"苗栗縣","苗栗縣後龍鎮","新黨","16","427",0.0233
"苗栗縣","苗栗縣後龍鎮","健保免費連線","17","85",0.0046
"苗栗縣","苗栗縣後龍鎮","樹黨","18","93",0.005
"苗栗縣","苗栗縣卓蘭鎮","民主進步黨","1","4352",0.4556
"苗栗縣","苗栗縣卓蘭鎮","親民黨","2","684",0.0716
"苗栗縣","苗栗縣卓蘭鎮","自由台灣黨","3","39",0.004
"苗栗縣","苗栗縣卓蘭鎮","和平鴿聯盟黨","4","56",0.0058
"苗栗縣","苗栗縣卓蘭鎮","軍公教聯盟黨","5","62",0.0064
"苗栗縣","苗栗縣卓蘭鎮","民國黨","6","187",0.0195
"苗栗縣","苗栗縣卓蘭鎮","信心希望聯盟","7","80",0.0083
"苗栗縣","苗栗縣卓蘭鎮","中華統一促進黨","8","34",0.0035
"苗栗縣","苗栗縣卓蘭鎮","中國國民黨","9","2792",0.2923
"苗栗縣","苗栗縣卓蘭鎮","台灣團結聯盟","10","252",0.0263
"苗栗縣","苗栗縣卓蘭鎮","時代力量","11","462",0.0483
"苗栗縣","苗栗縣卓蘭鎮","大愛憲改聯盟","12","19",0.0019
"苗栗縣","苗栗縣卓蘭鎮","綠黨社會民主黨聯盟","13","148",0.0154
"苗栗縣","苗栗縣卓蘭鎮","台灣獨立黨","14","37",0.0038
"苗栗縣","苗栗縣卓蘭鎮","無黨團結聯盟","15","39",0.004
"苗栗縣","苗栗縣卓蘭鎮","新黨","16","234",0.0245
"苗栗縣","苗栗縣卓蘭鎮","健保免費連線","17","39",0.004
"苗栗縣","苗栗縣卓蘭鎮","樹黨","18","35",0.0036
"苗栗縣","苗栗縣大湖鄉","民主進步黨","1","2424",0.3242
"苗栗縣","苗栗縣大湖鄉","親民黨","2","724",0.0968
"苗栗縣","苗栗縣大湖鄉","自由台灣黨","3","48",0.0064
"苗栗縣","苗栗縣大湖鄉","和平鴿聯盟黨","4","69",0.0092
"苗栗縣","苗栗縣大湖鄉","軍公教聯盟黨","5","53",0.007
"苗栗縣","苗栗縣大湖鄉","民國黨","6","151",0.0201
"苗栗縣","苗栗縣大湖鄉","信心希望聯盟","7","58",0.0077
"苗栗縣","苗栗縣大湖鄉","中華統一促進黨","8","52",0.0069
"苗栗縣","苗栗縣大湖鄉","中國國民黨","9","3021",0.404
"苗栗縣","苗栗縣大湖鄉","台灣團結聯盟","10","110",0.0147
"苗栗縣","苗栗縣大湖鄉","時代力量","11","279",0.0373
"苗栗縣","苗栗縣大湖鄉","大愛憲改聯盟","12","7",9e-04
"苗栗縣","苗栗縣大湖鄉","綠黨社會民主黨聯盟","13","81",0.0108
"苗栗縣","苗栗縣大湖鄉","台灣獨立黨","14","22",0.0029
"苗栗縣","苗栗縣大湖鄉","無黨團結聯盟","15","30",0.004
"苗栗縣","苗栗縣大湖鄉","新黨","16","281",0.0375
"苗栗縣","苗栗縣大湖鄉","健保免費連線","17","35",0.0046
"苗栗縣","苗栗縣大湖鄉","樹黨","18","31",0.0041
"苗栗縣","苗栗縣公館鄉","民主進步黨","1","5711",0.321
"苗栗縣","苗栗縣公館鄉","親民黨","2","1887",0.106
"苗栗縣","苗栗縣公館鄉","自由台灣黨","3","89",0.005
"苗栗縣","苗栗縣公館鄉","和平鴿聯盟黨","4","110",0.0061
"苗栗縣","苗栗縣公館鄉","軍公教聯盟黨","5","125",0.007
"苗栗縣","苗栗縣公館鄉","民國黨","6","475",0.0267
"苗栗縣","苗栗縣公館鄉","信心希望聯盟","7","146",0.0082
"苗栗縣","苗栗縣公館鄉","中華統一促進黨","8","223",0.0125
"苗栗縣","苗栗縣公館鄉","中國國民黨","9","6712",0.3773
"苗栗縣","苗栗縣公館鄉","台灣團結聯盟","10","294",0.0165
"苗栗縣","苗栗縣公館鄉","時代力量","11","814",0.0457
"苗栗縣","苗栗縣公館鄉","大愛憲改聯盟","12","22",0.0012
"苗栗縣","苗栗縣公館鄉","綠黨社會民主黨聯盟","13","295",0.0165
"苗栗縣","苗栗縣公館鄉","台灣獨立黨","14","44",0.0024
"苗栗縣","苗栗縣公館鄉","無黨團結聯盟","15","55",0.003
"苗栗縣","苗栗縣公館鄉","新黨","16","625",0.0351
"苗栗縣","苗栗縣公館鄉","健保免費連線","17","78",0.0043
"苗栗縣","苗栗縣公館鄉","樹黨","18","81",0.0045
"苗栗縣","苗栗縣銅鑼鄉","民主進步黨","1","2711",0.2848
"苗栗縣","苗栗縣銅鑼鄉","親民黨","2","779",0.0818
"苗栗縣","苗栗縣銅鑼鄉","自由台灣黨","3","39",0.004
"苗栗縣","苗栗縣銅鑼鄉","和平鴿聯盟黨","4","53",0.0055
"苗栗縣","苗栗縣銅鑼鄉","軍公教聯盟黨","5","71",0.0074
"苗栗縣","苗栗縣銅鑼鄉","民國黨","6","346",0.0363
"苗栗縣","苗栗縣銅鑼鄉","信心希望聯盟","7","89",0.0093
"苗栗縣","苗栗縣銅鑼鄉","中華統一促進黨","8","81",0.0085
"苗栗縣","苗栗縣銅鑼鄉","中國國民黨","9","4180",0.4391
"苗栗縣","苗栗縣銅鑼鄉","台灣團結聯盟","10","116",0.0121
"苗栗縣","苗栗縣銅鑼鄉","時代力量","11","391",0.041
"苗栗縣","苗栗縣銅鑼鄉","大愛憲改聯盟","12","17",0.0017
"苗栗縣","苗栗縣銅鑼鄉","綠黨社會民主黨聯盟","13","182",0.0191
"苗栗縣","苗栗縣銅鑼鄉","台灣獨立黨","14","31",0.0032
"苗栗縣","苗栗縣銅鑼鄉","無黨團結聯盟","15","48",0.005
"苗栗縣","苗栗縣銅鑼鄉","新黨","16","313",0.0328
"苗栗縣","苗栗縣銅鑼鄉","健保免費連線","17","30",0.0031
"苗栗縣","苗栗縣銅鑼鄉","樹黨","18","41",0.0043
"苗栗縣","苗栗縣南庄鄉","民主進步黨","1","1364",0.2629
"苗栗縣","苗栗縣南庄鄉","親民黨","2","598",0.1152
"苗栗縣","苗栗縣南庄鄉","自由台灣黨","3","27",0.0052
"苗栗縣","苗栗縣南庄鄉","和平鴿聯盟黨","4","36",0.0069
"苗栗縣","苗栗縣南庄鄉","軍公教聯盟黨","5","18",0.0034
"苗栗縣","苗栗縣南庄鄉","民國黨","6","190",0.0366
"苗栗縣","苗栗縣南庄鄉","信心希望聯盟","7","33",0.0063
"苗栗縣","苗栗縣南庄鄉","中華統一促進黨","8","56",0.0107
"苗栗縣","苗栗縣南庄鄉","中國國民黨","9","2294",0.4422
"苗栗縣","苗栗縣南庄鄉","台灣團結聯盟","10","78",0.015
"苗栗縣","苗栗縣南庄鄉","時代力量","11","143",0.0275
"苗栗縣","苗栗縣南庄鄉","大愛憲改聯盟","12","16",0.003
"苗栗縣","苗栗縣南庄鄉","綠黨社會民主黨聯盟","13","80",0.0154
"苗栗縣","苗栗縣南庄鄉","台灣獨立黨","14","15",0.0028
"苗栗縣","苗栗縣南庄鄉","無黨團結聯盟","15","21",0.004
"苗栗縣","苗栗縣南庄鄉","新黨","16","179",0.0345
"苗栗縣","苗栗縣南庄鄉","健保免費連線","17","25",0.0048
"苗栗縣","苗栗縣南庄鄉","樹黨","18","14",0.0026
"苗栗縣","苗栗縣頭屋鄉","民主進步黨","1","1790",0.2964
"苗栗縣","苗栗縣頭屋鄉","親民黨","2","465",0.0769
"苗栗縣","苗栗縣頭屋鄉","自由台灣黨","3","18",0.0029
"苗栗縣","苗栗縣頭屋鄉","和平鴿聯盟黨","4","25",0.0041
"苗栗縣","苗栗縣頭屋鄉","軍公教聯盟黨","5","31",0.0051
"苗栗縣","苗栗縣頭屋鄉","民國黨","6","238",0.0394
"苗栗縣","苗栗縣頭屋鄉","信心希望聯盟","7","38",0.0062
"苗栗縣","苗栗縣頭屋鄉","中華統一促進黨","8","117",0.0193
"苗栗縣","苗栗縣頭屋鄉","中國國民黨","9","2618",0.4335
"苗栗縣","苗栗縣頭屋鄉","台灣團結聯盟","10","78",0.0129
"苗栗縣","苗栗縣頭屋鄉","時代力量","11","252",0.0417
"苗栗縣","苗栗縣頭屋鄉","大愛憲改聯盟","12","7",0.0011
"苗栗縣","苗栗縣頭屋鄉","綠黨社會民主黨聯盟","13","95",0.0157
"苗栗縣","苗栗縣頭屋鄉","台灣獨立黨","14","19",0.0031
"苗栗縣","苗栗縣頭屋鄉","無黨團結聯盟","15","26",0.0043
"苗栗縣","苗栗縣頭屋鄉","新黨","16","180",0.0298
"苗栗縣","苗栗縣頭屋鄉","健保免費連線","17","22",0.0036
"苗栗縣","苗栗縣頭屋鄉","樹黨","18","20",0.0033
"苗栗縣","苗栗縣三義鄉","民主進步黨","1","2709",0.299
"苗栗縣","苗栗縣三義鄉","親民黨","2","784",0.0865
"苗栗縣","苗栗縣三義鄉","自由台灣黨","3","33",0.0036
"苗栗縣","苗栗縣三義鄉","和平鴿聯盟黨","4","86",0.0094
"苗栗縣","苗栗縣三義鄉","軍公教聯盟黨","5","61",0.0067
"苗栗縣","苗栗縣三義鄉","民國黨","6","292",0.0322
"苗栗縣","苗栗縣三義鄉","信心希望聯盟","7","93",0.0102
"苗栗縣","苗栗縣三義鄉","中華統一促進黨","8","85",0.0093
"苗栗縣","苗栗縣三義鄉","中國國民黨","9","3629",0.4005
"苗栗縣","苗栗縣三義鄉","台灣團結聯盟","10","141",0.0155
"苗栗縣","苗栗縣三義鄉","時代力量","11","482",0.0532
"苗栗縣","苗栗縣三義鄉","大愛憲改聯盟","12","16",0.0017
"苗栗縣","苗栗縣三義鄉","綠黨社會民主黨聯盟","13","164",0.0181
"苗栗縣","苗栗縣三義鄉","台灣獨立黨","14","40",0.0044
"苗栗縣","苗栗縣三義鄉","無黨團結聯盟","15","30",0.0033
"苗栗縣","苗栗縣三義鄉","新黨","16","295",0.0325
"苗栗縣","苗栗縣三義鄉","健保免費連線","17","58",0.0064
"苗栗縣","苗栗縣三義鄉","樹黨","18","62",0.0068
"苗栗縣","苗栗縣西湖鄉","民主進步黨","1","1011",0.259
"苗栗縣","苗栗縣西湖鄉","親民黨","2","348",0.0891
"苗栗縣","苗栗縣西湖鄉","自由台灣黨","3","16",0.0041
"苗栗縣","苗栗縣西湖鄉","和平鴿聯盟黨","4","34",0.0087
"苗栗縣","苗栗縣西湖鄉","軍公教聯盟黨","5","22",0.0056
"苗栗縣","苗栗縣西湖鄉","民國黨","6","129",0.033
"苗栗縣","苗栗縣西湖鄉","信心希望聯盟","7","27",0.0069
"苗栗縣","苗栗縣西湖鄉","中華統一促進黨","8","35",0.0089
"苗栗縣","苗栗縣西湖鄉","中國國民黨","9","1781",0.4564
"苗栗縣","苗栗縣西湖鄉","台灣團結聯盟","10","74",0.0189
"苗栗縣","苗栗縣西湖鄉","時代力量","11","141",0.0361
"苗栗縣","苗栗縣西湖鄉","大愛憲改聯盟","12","6",0.0015
"苗栗縣","苗栗縣西湖鄉","綠黨社會民主黨聯盟","13","54",0.0138
"苗栗縣","苗栗縣西湖鄉","台灣獨立黨","14","16",0.0041
"苗栗縣","苗栗縣西湖鄉","無黨團結聯盟","15","30",0.0076
"苗栗縣","苗栗縣西湖鄉","新黨","16","118",0.0302
"苗栗縣","苗栗縣西湖鄉","健保免費連線","17","29",0.0074
"苗栗縣","苗栗縣西湖鄉","樹黨","18","31",0.0079
"苗栗縣","苗栗縣造橋鄉","民主進步黨","1","2140",0.3119
"苗栗縣","苗栗縣造橋鄉","親民黨","2","538",0.0784
"苗栗縣","苗栗縣造橋鄉","自由台灣黨","3","33",0.0048
"苗栗縣","苗栗縣造橋鄉","和平鴿聯盟黨","4","51",0.0074
"苗栗縣","苗栗縣造橋鄉","軍公教聯盟黨","5","33",0.0048
"苗栗縣","苗栗縣造橋鄉","民國黨","6","370",0.0539
"苗栗縣","苗栗縣造橋鄉","信心希望聯盟","7","76",0.011
"苗栗縣","苗栗縣造橋鄉","中華統一促進黨","8","49",0.0071
"苗栗縣","苗栗縣造橋鄉","中國國民黨","9","2656",0.3872
"苗栗縣","苗栗縣造橋鄉","台灣團結聯盟","10","111",0.0161
"苗栗縣","苗栗縣造橋鄉","時代力量","11","314",0.0457
"苗栗縣","苗栗縣造橋鄉","大愛憲改聯盟","12","20",0.0029
"苗栗縣","苗栗縣造橋鄉","綠黨社會民主黨聯盟","13","78",0.0113
"苗栗縣","苗栗縣造橋鄉","台灣獨立黨","14","25",0.0036
"苗栗縣","苗栗縣造橋鄉","無黨團結聯盟","15","63",0.0091
"苗栗縣","苗栗縣造橋鄉","新黨","16","237",0.0345
"苗栗縣","苗栗縣造橋鄉","健保免費連線","17","34",0.0049
"苗栗縣","苗栗縣造橋鄉","樹黨","18","31",0.0045
"苗栗縣","苗栗縣三灣鄉","民主進步黨","1","1207",0.3119
"苗栗縣","苗栗縣三灣鄉","親民黨","2","303",0.0783
"苗栗縣","苗栗縣三灣鄉","自由台灣黨","3","20",0.0051
"苗栗縣","苗栗縣三灣鄉","和平鴿聯盟黨","4","26",0.0067
"苗栗縣","苗栗縣三灣鄉","軍公教聯盟黨","5","24",0.0062
"苗栗縣","苗栗縣三灣鄉","民國黨","6","151",0.039
"苗栗縣","苗栗縣三灣鄉","信心希望聯盟","7","28",0.0072
"苗栗縣","苗栗縣三灣鄉","中華統一促進黨","8","43",0.0111
"苗栗縣","苗栗縣三灣鄉","中國國民黨","9","1615",0.4174
"苗栗縣","苗栗縣三灣鄉","台灣團結聯盟","10","61",0.0157
"苗栗縣","苗栗縣三灣鄉","時代力量","11","144",0.0372
"苗栗縣","苗栗縣三灣鄉","大愛憲改聯盟","12","10",0.0025
"苗栗縣","苗栗縣三灣鄉","綠黨社會民主黨聯盟","13","50",0.0129
"苗栗縣","苗栗縣三灣鄉","台灣獨立黨","14","14",0.0036
"苗栗縣","苗栗縣三灣鄉","無黨團結聯盟","15","16",0.0041
"苗栗縣","苗栗縣三灣鄉","新黨","16","110",0.0284
"苗栗縣","苗栗縣三灣鄉","健保免費連線","17","15",0.0038
"苗栗縣","苗栗縣三灣鄉","樹黨","18","32",0.0082
"苗栗縣","苗栗縣獅潭鄉","民主進步黨","1","671",0.275
"苗栗縣","苗栗縣獅潭鄉","親民黨","2","246",0.1008
"苗栗縣","苗栗縣獅潭鄉","自由台灣黨","3","17",0.0069
"苗栗縣","苗栗縣獅潭鄉","和平鴿聯盟黨","4","14",0.0057
"苗栗縣","苗栗縣獅潭鄉","軍公教聯盟黨","5","11",0.0045
"苗栗縣","苗栗縣獅潭鄉","民國黨","6","70",0.0286
"苗栗縣","苗栗縣獅潭鄉","信心希望聯盟","7","17",0.0069
"苗栗縣","苗栗縣獅潭鄉","中華統一促進黨","8","24",0.0098
"苗栗縣","苗栗縣獅潭鄉","中國國民黨","9","1168",0.4786
"苗栗縣","苗栗縣獅潭鄉","台灣團結聯盟","10","27",0.011
"苗栗縣","苗栗縣獅潭鄉","時代力量","11","61",0.025
"苗栗縣","苗栗縣獅潭鄉","大愛憲改聯盟","12","4",0.0016
"苗栗縣","苗栗縣獅潭鄉","綠黨社會民主黨聯盟","13","24",0.0098
"苗栗縣","苗栗縣獅潭鄉","台灣獨立黨","14","3",0.0012
"苗栗縣","苗栗縣獅潭鄉","無黨團結聯盟","15","6",0.0024
"苗栗縣","苗栗縣獅潭鄉","新黨","16","61",0.025
"苗栗縣","苗栗縣獅潭鄉","健保免費連線","17","10",0.004
"苗栗縣","苗栗縣獅潭鄉","樹黨","18","6",0.0024
"苗栗縣","苗栗縣泰安鄉","民主進步黨","1","520",0.1692
"苗栗縣","苗栗縣泰安鄉","親民黨","2","546",0.1776
"苗栗縣","苗栗縣泰安鄉","自由台灣黨","3","20",0.0065
"苗栗縣","苗栗縣泰安鄉","和平鴿聯盟黨","4","10",0.0032
"苗栗縣","苗栗縣泰安鄉","軍公教聯盟黨","5","19",0.0061
"苗栗縣","苗栗縣泰安鄉","民國黨","6","67",0.0218
"苗栗縣","苗栗縣泰安鄉","信心希望聯盟","7","76",0.0247
"苗栗縣","苗栗縣泰安鄉","中華統一促進黨","8","43",0.0139
"苗栗縣","苗栗縣泰安鄉","中國國民黨","9","1496",0.4868
"苗栗縣","苗栗縣泰安鄉","台灣團結聯盟","10","34",0.011
"苗栗縣","苗栗縣泰安鄉","時代力量","11","81",0.0263
"苗栗縣","苗栗縣泰安鄉","大愛憲改聯盟","12","3",9e-04
"苗栗縣","苗栗縣泰安鄉","綠黨社會民主黨聯盟","13","28",0.0091
"苗栗縣","苗栗縣泰安鄉","台灣獨立黨","14","3",9e-04
"苗栗縣","苗栗縣泰安鄉","無黨團結聯盟","15","33",0.0107
"苗栗縣","苗栗縣泰安鄉","新黨","16","65",0.0211
"苗栗縣","苗栗縣泰安鄉","健保免費連線","17","14",0.0045
"苗栗縣","苗栗縣泰安鄉","樹黨","18","15",0.0048
"彰化縣","彰化縣彰化市","民主進步黨","1","51329",0.4138
"彰化縣","彰化縣彰化市","親民黨","2","9147",0.0737
"彰化縣","彰化縣彰化市","自由台灣黨","3","543",0.0043
"彰化縣","彰化縣彰化市","和平鴿聯盟黨","4","283",0.0022
"彰化縣","彰化縣彰化市","軍公教聯盟黨","5","1015",0.0081
"彰化縣","彰化縣彰化市","民國黨","6","2626",0.0211
"彰化縣","彰化縣彰化市","信心希望聯盟","7","1845",0.0148
"彰化縣","彰化縣彰化市","中華統一促進黨","8","425",0.0034
"彰化縣","彰化縣彰化市","中國國民黨","9","35047",0.2825
"彰化縣","彰化縣彰化市","台灣團結聯盟","10","3456",0.0278
"彰化縣","彰化縣彰化市","時代力量","11","8727",0.0703
"彰化縣","彰化縣彰化市","大愛憲改聯盟","12","175",0.0014
"彰化縣","彰化縣彰化市","綠黨社會民主黨聯盟","13","3107",0.025
"彰化縣","彰化縣彰化市","台灣獨立黨","14","339",0.0027
"彰化縣","彰化縣彰化市","無黨團結聯盟","15","700",0.0056
"彰化縣","彰化縣彰化市","新黨","16","3786",0.0305
"彰化縣","彰化縣彰化市","健保免費連線","17","653",0.0052
"彰化縣","彰化縣彰化市","樹黨","18","823",0.0066
"彰化縣","彰化縣鹿港鎮","民主進步黨","1","21182",0.4714
"彰化縣","彰化縣鹿港鎮","親民黨","2","3000",0.0667
"彰化縣","彰化縣鹿港鎮","自由台灣黨","3","210",0.0046
"彰化縣","彰化縣鹿港鎮","和平鴿聯盟黨","4","181",0.004
"彰化縣","彰化縣鹿港鎮","軍公教聯盟黨","5","209",0.0046
"彰化縣","彰化縣鹿港鎮","民國黨","6","589",0.0131
"彰化縣","彰化縣鹿港鎮","信心希望聯盟","7","441",0.0098
"彰化縣","彰化縣鹿港鎮","中華統一促進黨","8","134",0.0029
"彰化縣","彰化縣鹿港鎮","中國國民黨","9","11495",0.2558
"彰化縣","彰化縣鹿港鎮","台灣團結聯盟","10","1533",0.0341
"彰化縣","彰化縣鹿港鎮","時代力量","11","3201",0.0712
"彰化縣","彰化縣鹿港鎮","大愛憲改聯盟","12","67",0.0014
"彰化縣","彰化縣鹿港鎮","綠黨社會民主黨聯盟","13","775",0.0172
"彰化縣","彰化縣鹿港鎮","台灣獨立黨","14","140",0.0031
"彰化縣","彰化縣鹿港鎮","無黨團結聯盟","15","304",0.0067
"彰化縣","彰化縣鹿港鎮","新黨","16","981",0.0218
"彰化縣","彰化縣鹿港鎮","健保免費連線","17","264",0.0058
"彰化縣","彰化縣鹿港鎮","樹黨","18","228",0.005
"彰化縣","彰化縣和美鎮","民主進步黨","1","19914",0.4258
"彰化縣","彰化縣和美鎮","親民黨","2","3610",0.0772
"彰化縣","彰化縣和美鎮","自由台灣黨","3","197",0.0042
"彰化縣","彰化縣和美鎮","和平鴿聯盟黨","4","197",0.0042
"彰化縣","彰化縣和美鎮","軍公教聯盟黨","5","237",0.005
"彰化縣","彰化縣和美鎮","民國黨","6","749",0.016
"彰化縣","彰化縣和美鎮","信心希望聯盟","7","523",0.0111
"彰化縣","彰化縣和美鎮","中華統一促進黨","8","129",0.0027
"彰化縣","彰化縣和美鎮","中國國民黨","9","13404",0.2866
"彰化縣","彰化縣和美鎮","台灣團結聯盟","10","1388",0.0296
"彰化縣","彰化縣和美鎮","時代力量","11","3292",0.0704
"彰化縣","彰化縣和美鎮","大愛憲改聯盟","12","91",0.0019
"彰化縣","彰化縣和美鎮","綠黨社會民主黨聯盟","13","966",0.0206
"彰化縣","彰化縣和美鎮","台灣獨立黨","14","133",0.0028
"彰化縣","彰化縣和美鎮","無黨團結聯盟","15","258",0.0055
"彰化縣","彰化縣和美鎮","新黨","16","1048",0.0224
"彰化縣","彰化縣和美鎮","健保免費連線","17","292",0.0062
"彰化縣","彰化縣和美鎮","樹黨","18","330",0.007
"彰化縣","彰化縣線西鄉","民主進步黨","1","3147",0.3712
"彰化縣","彰化縣線西鄉","親民黨","2","829",0.0978
"彰化縣","彰化縣線西鄉","自由台灣黨","3","46",0.0054
"彰化縣","彰化縣線西鄉","和平鴿聯盟黨","4","41",0.0048
"彰化縣","彰化縣線西鄉","軍公教聯盟黨","5","38",0.0044
"彰化縣","彰化縣線西鄉","民國黨","6","154",0.0181
"彰化縣","彰化縣線西鄉","信心希望聯盟","7","81",0.0095
"彰化縣","彰化縣線西鄉","中華統一促進黨","8","13",0.0015
"彰化縣","彰化縣線西鄉","中國國民黨","9","2816",0.3322
"彰化縣","彰化縣線西鄉","台灣團結聯盟","10","252",0.0297
"彰化縣","彰化縣線西鄉","時代力量","11","513",0.0605
"彰化縣","彰化縣線西鄉","大愛憲改聯盟","12","28",0.0033
"彰化縣","彰化縣線西鄉","綠黨社會民主黨聯盟","13","159",0.0187
"彰化縣","彰化縣線西鄉","台灣獨立黨","14","30",0.0035
"彰化縣","彰化縣線西鄉","無黨團結聯盟","15","43",0.005
"彰化縣","彰化縣線西鄉","新黨","16","166",0.0195
"彰化縣","彰化縣線西鄉","健保免費連線","17","53",0.0062
"彰化縣","彰化縣線西鄉","樹黨","18","67",0.0079
"彰化縣","彰化縣伸港鄉","民主進步黨","1","7414",0.4095
"彰化縣","彰化縣伸港鄉","親民黨","2","1419",0.0783
"彰化縣","彰化縣伸港鄉","自由台灣黨","3","83",0.0045
"彰化縣","彰化縣伸港鄉","和平鴿聯盟黨","4","63",0.0034
"彰化縣","彰化縣伸港鄉","軍公教聯盟黨","5","70",0.0038
"彰化縣","彰化縣伸港鄉","民國黨","6","299",0.0165
"彰化縣","彰化縣伸港鄉","信心希望聯盟","7","190",0.0104
"彰化縣","彰化縣伸港鄉","中華統一促進黨","8","52",0.0028
